
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   379380
Number of nonzeros in inequality constraint Jacobian.:      172
Number of nonzeros in Lagrangian Hessian.............:   149721

Reallocating memory for MA57: lfact (8223916)
Total number of variables............................:    76020
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    76020
                     variables with only upper bounds:        0
Total number of equality constraints.................:    57487
Total number of inequality constraints...............:       87
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       87
        inequality constraints with only upper bounds:        0
 154 8.8642949e-001 3.53e-003 3.57e-003  -8.3 6.54e+001    -  5.42e-002 2.44e-001h  1
 155 8.8642678e-001 3.04e-003 3.34e-003  -9.2 2.14e+001    -  8.16e-001 1.85e-001h  1
 156 8.8642468e-001 2.60e-003 2.71e-003  -9.2 2.29e+001    -  6.82e-002 1.76e-001h  1
 157 8.8641669e-001 3.43e-003 4.52e-004  -9.2 2.30e+001    -  6.57e-001 8.13e-001h  1
 158 8.8641505e-001 1.39e-004 1.73e-005  -9.2 8.77e+000    -  1.00e+000 9.77e-001f  1
 159 8.8640859e-001 4.65e-004 6.46e-006  -9.7 6.39e+000    -  1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160 8.8640685e-001 7.99e-005 6.79e-007 -10.2 2.31e+000    -  1.00e+000 1.00e+000h  1
 161 8.8640640e-001 1.33e-005 1.05e-008 -10.6 2.10e-001    -  1.00e+000 1.00e+000h  1
 162 8.8640618e-001 3.99e-006 2.45e-005 -11.0 1.31e-001    -  9.67e-001 1.00e+000h  1
 163 8.8640617e-001 8.99e-007 2.14e-011 -11.0 5.84e-003    -  1.00e+000 1.00e+000h  1

Number of Iterations....: 163

                                   (scaled)                 (unscaled)
Objective...............:  8.8640617026426127e-001   8.8640617026426127e-001
Dual infeasibility......:  2.1434474832099343e-011   2.1434474832099343e-011
Constraint violation....:  7.6685447484936138e-008   8.9882439624489052e-007
Complementarity.........:  1.1362370928681646e-011   1.1362370928681646e-011
Overall NLP error.......:  7.6685447484936138e-008   8.9882439624489052e-007


Number of objective function evaluations             = 181
Number of objective gradient evaluations             = 164
Number of equality constraint evaluations            = 181
Number of inequality constraint evaluations          = 181
Number of equality constraint Jacobian evaluations   = 164
Number of inequality constraint Jacobian evaluations = 164
Number of Lagrangian Hessian evaluations             = 163
Total CPU secs in IPOPT (w/o function evaluations)   =    225.677
Total CPU secs in NLP function evaluations           =   2133.873

